// Item Trade Restrictions Database
// Defines special trade rules for individual items.
//
// Structure of Database:
// Item ID, TradeMask,Group Level Override
//
// Legend for 'TradeMask' field (bitmask):
// 1   - item can't be dropped
// 2   - item can't be traded (nor vended)
// 4   - wedded partner can override restriction 2
// 8   - item can't be sold to npcs
// 16  - item can't be placed in the cart
// 32  - item can't be placed in the storage
// 64  - item can't be placed in the guild storage
// 128 - item can't be attached to mail
// 256 - item can't be auctioned
//
// Example:
// 1161,67,50
//	Balmung cannot be dropped, traded, or placed in Guild Storage (1+2+64).
//	Only groups of group-level 50 and up can override this setting.

// Wedding Related items
673,493,100	// Copper_Coin
7497,507,100	// Metal Fragment
7498,507,100	// Rosimier Mansion Keys
7499,507,100	// Family Portrait
7500,507,100	// Woman's Portrait
7501,507,100	// K.H's Letter
7502,507,100	// James's Note
7503,507,100	// Man's Portrait
7504,507,100	// Power Device
7505,507,100	// Toy Key
7506,499,100	// Black Keycard
7508,507,100	// Allysia's Ring
7509,475,100	// Luxurious Keycard
7516,499,100	// Green Keycard

// Hugel Race Track token
7515,499,100	// Prize Medal

// Chinese ????? related items
7518,499,100	// Women's Medal
2668,499,100	// Women's_Glory
7525,499,100	// Summer Festival Ticket
7341,507,100	// Old Pendant

// Lighthalzen Quest items
// * Schwartzvalt Trilogy Quest items
7342,507,100	// File Folder
7343,507,100	// Sealed File Folder
7344,507,100	// Shinokas Case File
7346,507,100	// Ymir's Heart Piece
7349,507,100	// Archive Permit
// * Friendship Quest(?) Items
7351,507,100	// Friend's Diary

// ??? Indonesian Event
7527,506,100	// Book About True Life
11501,461,100	// Light_White_Pot
11502,461,100	// Light_Blue_Pot
12142,506,100	// Book of Magic

// "2006 USA 3rd Anniversary" related items
7530,507,100	// Travel Brochure [Amatsu]
7531,507,100	// Travel Brochure [Kunlun]
7532,507,100	// Travel Brochure [Louyang]
7533,507,100	// Travel Brochure [Ayothaya]
7534,507,100	// Amatsu Completed Photo Album
7535,507,100	// Kunlun Completed Photo Album
7536,507,100	// Louyang Completed Photo Album
7537,507,100	// Ayothaya Completed Photo Album

// Poring Coin items
7538,499,100	// Sand for Work
7539,499,100	// Poring Coin

// Brazillian Event items
7547,499,100	// Soccer Ball
7548,499,100	// Soccer Shoes
7549,499,100	// Brazilian Flag
7550,499,100	// 6.13 Ticket
7551,499,100	// 6.18 Ticket
7552,499,100	// 6.22 Ticket

// Taiwan Besark's Day Event items
7553,499,100	// Lotus Flower
7554,499,100	// Striped Candle
7555,499,100	// Green Incense

// Taiwan 'Pink Yearning' Event items
7556,475,100	// Longing Heart
7557,475,100	// Invitation Letter
7558,475,100	// Invitation Ticket
7559,475,100	// Key to the Secret Garden
2670,475,100	// Ring_Of_Longing
2358,73,100	// Dress_Of_Angel

// India Father's Day Event items
5154,475,100	// Sunglasses_F
5155,475,100	// Granpa_Beard_F
5156,475,100	// Flu_Mask_F

// Indonesia Jewel Event items
7575,507,100	// Red Jewel
7576,507,100	// Blue Jewel
7577,499,100	// Yellow Jewel

// Rachel Quest items
// * Aruna First (Katullanux quest)
7569,475,100	// Wind Hammer
7572,475,100	// Ashy Necklace
7573,475,100	// Sparkling Necklace

// 2006 Chinese Event items
7579,499,100	// Silk Handkerchief of Zhi Nu

// Taiwan 4th Anniversary Memorial items
7583,499,100	// Evil Mind
7584,499,100	// Guard's First Proof
7585,499,100	// Guard's Second Proof
7586,499,100	// Guard's Third Proof
7587,499,100	// Guard's Fourth Proof
2673,507,100	// Shining_Ring
1533,507,100	// Warrior_Balmung
12411,461,100	// HE_Battle_Manual
13020,507,100	// Warrior_Balmung_

// Vietnam Event item
7588,499,100	// IPOD Coupon

// 2006 Brazilian 2nd Anniversary items
7603,499,100	// RO Party Invitation Ticket
5201,499,100	// Party_Hat_B

// 2006 Indonesia Honor Ring item 
2674,507,100	// Honor_Ring

// 2006 Korean Harvest Moon Day Event item
12199,507,100	// Scroll of Magic

// 2006 Indonesia Event
7614,499,100	// Wrapping Paper
7618,499,100	// Monster Crystal
2676,507,100	// Hunter_Earring

// Mercenary scrolls
12153,499,100	// Bowman Scroll 1
12154,499,100	// Bowman Scroll 2
12155,499,100	// Bowman Scroll 3
12156,499,100	// Bowman Scroll 4
12157,499,100	// Bowman Scroll 5
12158,499,100	// Bowman Scroll 6
12159,499,100	// Bowman Scroll 7
12160,499,100	// Bowman Scroll 8
12161,499,100	// Bowman Scroll 9
12162,499,100	// Bowman Scroll 10
12163,499,100	// Fencer Scroll 1
12164,499,100	// Fencer Scroll 2
12165,499,100	// Fencer Scroll 3
12166,499,100	// Fencer Scroll 4
12167,499,100	// Fencer Scroll 5
12168,499,100	// Fencer Scroll 6
12169,499,100	// Fencer Scroll 7
12170,499,100	// Fencer Scroll 8
12171,499,100	// Fencer Scroll 9
12172,499,100	// Fencer Scroll 10
12173,499,100	// Spearman Scroll 1
12174,499,100	// Spearman Scroll 2
12175,499,100	// Spearman Scroll 3
12176,499,100	// Spearman Scroll 4
12177,499,100	// Spearman Scroll 5
12178,499,100	// Spearman Scroll 6
12179,499,100	// Spearman Scroll 7
12180,499,100	// Spearman Scroll 8
12181,499,100	// Spearman Scroll 9
12182,499,100	// Spearman Scroll 10

// Indonesia 4 Annual Events
2368,467,100	// Golden_Armor
2427,467,100	// Golden_Shoes
2704,467,100	// Golden_Accessory
2705,467,100	// Golden_Accessory2
5295,467,100	// Golden_Bandana
7863,467,100	// Special Gold

// Thailand Event-Environment Day Items
7865,499,100	// Gold Pouch
7866,499,100	// Certificate

// 11.2 Quest items
// * "Thor Volcano Base" items
7759,507,100	// Geologist's Report

// USA 4th Anniversary Event Items
5305,475,100	// Pirate_Dagger
5373,73,100	// Darkness_Helm
7773,499,100	// War_Badge
7875,467,100	// Pirate Treasure

// Moscovia Quest Items -----
2429,499,100	// Iron_Boots01
2430,499,100	// Iron_Boots02
7876,499,100	// Golden Key
7877,499,100	// Red Ring
7878,499,100	// Lusalka's Hair
7879,499,100	// Golden Thread
7880,499,100	// Baba Yaga's Silver Spoon
7881,499,100	// Mystery Magic Book
7882,499,100	// Sharp Branch
7883,499,100	// Wooden Flute

// Indonesian Red Bandana Hair Band
5320,475,100	// Champion_Wreath

// Malaysia/Singapore Event Items
2708,475,100	// Chinese_Handicraft
5805,475,100	// Victorious_Coronet
7884,475,100	// Jade Plate
7885,475,100	// Sacred Arrow
12704,475,100	// Elixir of Life
12705,475,100	// Noble Nameplate

// Compensation Items Coupon
7784,475,100	// Free Coupon 1
7785,475,100	// Free Coupon 2
7786,475,100	// Free Coupon 3
7787,475,100	// Free Coupon 4
7788,475,100	// Free Coupon 5
7789,475,100	// Free Coupon 6
7790,475,100	// Free Coupon 7
7791,475,100	// Free Coupon 8

// Fate Crow Quest Items
7794,475,100	// The Crow of Destiny

// Russian Golden Apple Event Items
//5322,475,100	// Kerchief
7793,475,100	// Golden Apple
7800,475,100	// Golden Charm Apple

// Taiwan Medicine of Fantasy
12259,475,100	// Miracle_Medicine
12261,475,100	// Secret_Medicine

// 2007 Summer Event Items
7801,499,100	// Girl's Letter
7802,499,100	// Signature Notebook

// Sakray Test items
1177,475,100	// Muramash
1272,475,100	// Scratcher
1423,475,100	// Pole_XO
1536,475,100	// Good_Morning_Star
1566,475,100	// Diary_Of_Great_Basil
1627,475,100	// Staffy
1735,475,100	// Kkakkung
1921,475,100	// Guh_Moon_Gom
1975,475,100	// Queen_Is_Whip
2127,475,100	// Secular_Mission
2370,475,100	// Used_Mage_Coat
2431,475,100	// Valley_Shoes
2534,475,100	// Ruffler
5323,475,100	// Misstrance_Crown
13029,475,100	// Prinsence_Knife
13071,461,100	// Upg_Dagger
13115,461,100	// Upg_Revolver
13316,461,100	// Upg_Huuma_Shuriken
13406,475,100	// Edger

// Taiwan ???
2713,507,100	// Certificate_TW

// Satan Morroc
7820,507,100	// Piece of Morocc Skin

// Vietnam Independence Day
5806,475,100	// Poem_Natalia_Hat

// PC-Cafe Authoritative Badge
12262,507,100	// Authoritative Badge
12263,475,100	// Field Manual
12264,475,100	// Bubble Gum
12265,475,100	// Life Insurrance

// Morocc Continental Guard Certificate
7826,507,100	// Continental Guard Paper

// Harvest Moon Day PC Items
12266,507,100	// Sesame Pastry
12267,507,100	// Honey Pastry
12268,507,100	// Rainbow Cake

// Satan Morocc (Episode 12)
2730,467,100	// Morroc_Seal
2731,467,100	// Morroc_Charm_Stone
2732,467,100	// Morroc_Ring

// Episode 12
1638,507,100	// Healing_Staff_C
2438,467,100	// Paw_Of_Cat
2720,499,100	// Medal_Swordman
2721,499,100	// Medal_Thief
2722,499,100	// Medal_Acolyte
2723,499,100	// Medal_Mage
2724,499,100	// Medal_Archer
2725,499,100	// Medal_Merchant
2738,507,100	// Shiny_Coin
2739,507,100	// Ordinary_Coin
2740,507,100	// Rusty_Coin
2751,467,100	// Academy_Badge
2752,507,100	// Praxinus_C
5357,475,100	// Wings_Of_Victory
5368,475,100	// White_Wing
5369,475,100	// Dark_Wing
5386,384,100	// Ayam_
5394,507,100	// Bubblegum_Lower
5812,507,100	// Hat_Of_Expert
6000,475,100	// Ashes of Darkness
6005,467,100	// New Year Rice Cake
6006,499,100	// Rice Cake Delivery Box
6007,499,100	// New Year Rice Cake Soup
6009,499,100	// Big Fan Of Magic
7623,507,100	// Ticket Of Identification

// Falicious Okolnir
7839,499,100	// Crystal Key
7840,507,100	// Valkyrie's Gift

// "St. Patrick's Day (2008)" Quest related items
12715,507,100	// Black Treasure Box

// Battleground Rewards (Tierra Gorge/Flavius)
1183,467,100	// BF_Two_Handed_Sword1
1184,467,100	// BF_Two_Handed_Sword2
1279,467,100	// BF_Katar1
1280,467,100	// BF_Katar2
1379,467,100	// BF_Two_Handed_Axe1
1380,467,100	// BF_Two_Handed_Axe2
1425,467,100	// BF_Spear1
1482,467,100	// BF_Lance1
1542,467,100	// BF_Morning_Star1
1543,467,100	// BF_Morning_Star2
1574,467,100	// BF_Book1
1575,467,100	// BF_Book2
1632,467,100	// BF_Staff1
1633,467,100	// BF_Staff2
1634,467,100	// BF_Staff3
1635,467,100	// BF_Staff4
1738,467,100	// BF_Bow1
1739,467,100	// BF_Bow2
1823,467,100	// BF_Knuckle1
1824,467,100	// BF_Knuckle2
1923,467,100	// BF_Instrument1
1924,467,100	// BF_Instrument2
1977,467,100	// BF_Whip1
1978,467,100	// BF_Whip2
2376,467,100	// Assaulter_Plate
2377,467,100	// Elite_Engineer_Armor
2378,467,100	// Assassin_Robe
2379,467,100	// Warlock_Battle_Robe
2380,467,100	// Medic_Robe
2381,467,100	// Elite_Archer_Suit
2382,467,100	// Elite_Shooter_Suit
2435,467,100	// Battle_Greave
2436,467,100	// Combat_Boots
2437,467,100	// Battle_Boots
2538,467,100	// Commander_Manteau
2539,467,100	// Commander_Manteau_
2540,467,100	// Sheriff_Manteau
2733,467,100	// Medal_Gunner
7828,467,100	// Bravery Badge
7829,467,100	// Valor Badge
13036,467,100	// BF_Dagger1
13037,467,100	// BF_Dagger2
13108,467,100	// BF_Pistol1
13171,467,100	// BF_Rifle1
13172,467,100	// BF_Gatling_Gun1
13173,467,100	// BF_Shotgun1
13174,467,100	// BF_Launcher1
13305,467,100	// BF_Huuma_Shuriken1
13306,467,100	// BF_Huuma_Shuriken2
13410,467,100	// BF_Sword1
13411,467,100	// BF_Sword2

// "Valentine's Day (2009)" Event related items
5817,507,100	// Valentine_Pledge
13598,461,100	// Battle_Manual_Box2
14466,507,100	// Valentine's Emblem Box

// Ayo_event 20090303
7950,499,100	// Ayothaya Fest Ticket

// Episode 13.1
6039,507,100	// Piece of Fish
6048,507,100	// Unidentified Mineral
6051,499,100	// Gray Hollow

// Battleground Rewards (Krieger Von Midgard)
1187,499,100	// Krieger_Twohand_Sword1
1281,499,100	// Krieger_Katar1
1282,499,100	// Krieger_Katar2
1310,499,100	// Krieger_Onehand_Axe1
1382,499,100	// Krieger_Twohand_Axe1
1426,499,100	// Krieger_Onehand_Spear1
1486,499,100	// Krieger_Twohand_Spear1
1546,499,100	// Krieger_Onehand_Mace1
1576,499,100	// Krieger_Book1
1577,499,100	// Krieger_Book2
1640,499,100	// Krieger_Onehand_Staff1
1641,499,100	// Krieger_Onehand_Staff2
1743,499,100	// Krieger_Bow1
1826,499,100	// Krieger_Knuckle1
1827,499,100	// Krieger_Knuckle2
1927,499,100	// Krieger_Instrument1
1981,499,100	// Krieger_Whip1
2002,499,100	// Krieger_Twohand_Staff1
2394,499,100	// Krieger_Suit1
2395,499,100	// Krieger_Suit2
2396,499,100	// Krieger_Suit3
2444,499,100	// Krieger_Shoes1
2445,499,100	// Krieger_Shoes2
2446,499,100	// Krieger_Shoes3
2549,499,100	// Krieger_Muffler1
2772,499,100	// Krieger_Ring1
2773,499,100	// Krieger_Ring2
2774,499,100	// Krieger_Ring3
13042,499,100	// Krieger_Dagger1
13110,499,100	// Krieger_Pistol1
13176,499,100	// Krieger_Rifle1
13177,499,100	// Krieger_Gatling1
13178,499,100	// Krieger_Shotgun1
13179,499,100	// Krieger_Launcher1
13307,499,100	// Krieger_Huuma_Shuriken1
13416,499,100	// Krieger_Onehand_Sword1
13417,499,100	// Krieger_Onehand_Sword2
13418,499,100	// Krieger_Onehand_Sword3

// Episode 13.2
6074,499,100	// Bazett's Order
6075,507,100	// Crystalized Teardrop
6076,507,100	// Portable Toolbox
6077,507,100	// Rough Mineral
6078,507,100	// Stone Fragment
6079,507,100	// Flower Of Alfheim
6080,507,100	// Manuk Coin
6081,507,100	// Splendide Coin
6082,507,100	// Spirit Of Alfheim
6084,507,100	// Bradium Fragments
6085,507,100	// Shaggy Muffler
12342,475,100	// Manuk's Opportunity
12343,475,100	// Manuk's Courage
12344,475,100	// Pinguicula's Fruit Jam
12345,475,100	// Luciola's Honey Jam
12348,475,100	// Manuk's Faith
12349,475,100	// Cornus' Tears

// New Novice Training Grounds Equipment
1381,499,100	// N_Battle_Axe
1545,499,100	// N_Mace
1639,499,100	// N_Rod
1742,499,100	// N_Composite_Bow
2393,499,100	// N_Adventurer's_Suit
2819,499,100	// Swordman_Manual
2820,499,100	// Thief_Manual
2821,499,100	// Acolyte_Manual
2822,499,100	// Archer_Manual
2823,499,100	// Merchant_Manual
2824,499,100	// Mage_Manual
12323,507,100	// Novice Fly Wing
12324,507,100	// Novice Butterfly Wing
12325,507,100	// Novice Magnifier
13040,499,100	// N_Cutter
13041,499,100	// N_Main_Gauche
13415,499,100	// N_Falchion

// Eden Group
5583,499,100	// Para_Team_Hat
6218,507,100	// Delivery_Daishin_Box
6219,507,100	// Eden Group Mark
13112,499,100	// P_Revolver1
13113,499,100	// P_Revolver2
14953,461,100	// Dark_Magician_Scroll
14954,461,100	// Dark_Sword_Scroll

// * Third Job-related
1703,507,100	// Bow__
2794,507,100	// Magic_Stone_Ring
2795,499,100	// Green_Apple_Ring
2796,507,100	// Magical_Stone
2797,507,100	// Magical_Stone_
2798,499,100	// Will_Of_Exhausted_Angel
6121,507,100	// Makeover Brush
6122,507,100	// Paint Brush
6124,507,100	// Wolf Flute
6151,499,100	// Giant Bradium Fragment
6152,499,100	// Glittering Crystal
6153,507,100	// Special Exchange Ticket
6154,499,100	// Broken Horn Pipe
6156,499,100	// Approval Report
6266,507,100	// Key Of Deception
6267,507,100	// Key Of Illusion
6268,507,100	// Key Of Gaiety
6269,507,100	// A Master's Blush
6270,499,100	// A Picture Of Minstrel Song
6271,499,100	// Receipt
6272,507,100	// Experiment Seed
6273,507,100	// Seed For Experiment
6274,507,100	// A Piece Of Cloth Of A Saint
6275,507,100	// Shield Of King
6276,507,100	// Clear Reagent
6277,507,100	// Red Reagent
6278,507,100	// Black Reagent
12258,499,100	// Bomb Poring Box
12333,507,100	// Ancilla
12384,499,100	// Rainbow Ruby
12385,499,100	// Rainbow Ruby
12386,499,100	// Rainbow Ruby
12387,499,100	// Rainbow Ruby
12388,507,100	// Rhydo Runestone For Apprentice
12389,507,100	// Pertz Runestone For Apprentice
12390,507,100	// Verkana Runestone For Apprentice
12725,475,100	// Nauthiz Rune
12726,475,100	// Raido Rune
12727,475,100	// Berkana Rune
12728,475,100	// Isa Rune
12729,475,100	// Othila Rune
12730,475,100	// Uruz Rune
12731,475,100	// Thurisaz Rune
12732,475,100	// Wyrd Rune
12733,475,100	// Hagalaz Rune

// Brasilis
6237,507,100	// Guarana Fruit

// Cash Shop Related Items
1173,507,100	// Muramasa_C
1190,507,100	// Claymore_C
1267,507,100	// Infiltrator_C
1283,507,100	// Katar_Of_Speed
1286,507,100	// Jamadhar_C
1312,507,100	// Orcish_Axe_C
1372,507,100	// Right_Epsilon_C
1383,457,100	// Holy_Celestial_Axe
1419,507,100	// Pole_Axe_C
1427,507,100	// Spear_Of_Excellent
1430,507,100	// Pike_C
1487,507,100	// Lance_C
1547,507,100	// Mace_Of_Madness
1563,507,100	// Diary_Of_Great_Sage_C
1578,507,100	// Book_Of_Prayer
1580,507,100	// Encyclopedia_C
1623,507,100	// Mighty_Staff_C
1642,507,100	// Staff_Of_Darkness
1728,507,100	// Balistar_C
1744,507,100	// Bow_Of_Evil
1817,507,100	// Kaiser_Knuckle_C
1828,507,100	// Monk_Knuckle
1829,507,100	// Fist_C
1929,507,100	// Guitar_C
1982,507,100	// Phenomena_Whip
1983,507,100	// Rante_C
2132,507,100	// Shelter_Resistance
2369,507,100	// Freyja_Overcoat
2384,507,100	// Spritual_Tunic
2385,507,100	// Recuperative_Armor
2439,507,100	// Refresh_Shoes
2543,507,100	// Sylphid_Manteau
2686,507,100	// Elven_Ears_C
2687,507,100	// Steel_Flower_C
2688,507,100	// Critical_Ring_C
2689,507,100	// Earring_C
2690,507,100	// Ring_C
2691,507,100	// Necklace_C
2692,507,100	// Glove_C
2693,507,100	// Brooch_C
2694,507,100	// Rosary_C
2695,507,100	// Safety_Ring_C
2696,507,100	// Vesper_Core01_C
2697,507,100	// Vesper_Core02_C
2698,507,100	// Vesper_Core03_C
2699,507,100	// Vesper_Core04_C
2734,499,100	// Directive_A
2735,499,100	// Directive_B
2741,507,100	// All_In_One_Ring
2753,475,100	// Beholder_Ring
2754,475,100	// Hallow_Ring
2755,475,100	// Clamorous_Ring
2756,475,100	// Chemical_Ring
2757,475,100	// Insecticide_Ring
2758,475,100	// Fisher_Ring
2759,475,100	// Decussate_Ring
2760,475,100	// Bloody_Ring
2761,475,100	// Satanic_Ring
2762,475,100	// Dragoon_Ring
5098,73,100	// Tiger_Mask
5210,73,100	// Flying_Angel
5226,73,100	// Mini_Propeller_
5227,475,100	// Red_Deviruchi_Cap
5228,475,100	// White_Deviruchi_Cap
5229,475,100	// Gray_Deviruchi_Cap
5230,475,100	// White_Drooping_Kitty
5231,475,100	// Gray_Drooping_Kitty
5232,475,100	// Pink_Drooping_Kitty
5233,475,100	// Blue_Drooping_Kitty
5234,475,100	// Yellow_Drooping_Kitty
5235,475,100	// Gray_Fur_Hat
5236,475,100	// Blue_Fur_Hat
5237,475,100	// Pink_Fur_Hat
5238,475,100	// Red_Wizardry_Hat
5239,475,100	// White_Wizardry_Hat
5240,475,100	// Gray_Wizardry_Hat
5241,475,100	// Blue_Wizardry_Hat
5242,475,100	// Yellow_Wizardry_Hat
5263,73,100	// Ati_Atihan_Hat
5265,507,100	// Apple_Of_Archer_C
5266,507,100	// Bunny_Band_C
5267,507,100	// Sahkkat_C
5268,507,100	// Lord_Circlet_C
5277,73,100	// Yellow_Bandana
5283,73,100	// Chick_Hat
5286,73,100	// Pecopeco_Hairband
5288,73,100	// Red_Glasses
5293,73,100	// Ramen_Hat
5294,73,100	// Whisper_Mask
5313,73,100	// Diadem
5314,73,100	// Hockey_Mask
5315,73,100	// Observer
5324,73,100	// Little_Angel_Doll
5372,73,100	// Drooping_White_Kitty
5374,73,100	// L_Magestic_Goat
5375,73,100	// L_Orc_Hero_Helm
5376,73,100	// Satanic_Chain_P
5377,73,100	// Antique_Pipe
5378,73,100	// Rabbit_Ear_Hat
5380,73,100	// Fish_Head_Hat
5381,73,100	// Santa_Poring_Hat
5382,73,100	// Bell_Ribbon
5391,507,100	// Toast_C
5420,73,100	// Mask_Of_Ifrit
5421,73,100	// Ifrit's_Ear
5462,457,100	// Spiked_Scarf
5463,457,100	// Rainbow_Scarf
5502,457,100	// Necromencer's_Hood
5503,73,100	// Rabbit_Magic_Hat
5505,73,100	// Asara_Fairy_Hat
5529,457,100	// Evil's_Bone_Hat
5596,507,100	// 4Leaf_Clover_In_Mouth
5597,507,100	// Bubble_Gum_In_Mouth
6046,453,100	// Clothing_Dye_Coupon
6047,453,100	// Clothing_Dye_Coupon_II
7619,475,100	// Enriched Elunium
7620,475,100	// Enriched Oridecon
7621,475,100	// Token Of Siegfried
7622,73,100	// Hairstyle Coupon
7766,475,100	// Bok Choy
7767,475,100	// Green Maiden's Cake
7776,475,100	// Max_Weight_Up_Scroll
7821,475,100	// Green Apple
7822,475,100	// Whole Barbecue
7823,475,100	// Meat Veg Skewer
7824,475,100	// Spirit Liquor
7945,73,100	// Universal Amulet
12202,475,100	// Str_Dish10_
12203,475,100	// Agi_Dish10_
12204,475,100	// Int_Dish10_
12205,475,100	// Dex_Dish10_
12206,475,100	// Luk_Dish10_
12207,475,100	// Vit_Dish10_
12208,475,100	// Battle_Manual
12209,475,100	// Life Insurance
12210,475,100	// Bubble Gum
12211,475,100	// Kafra Card
12212,475,100	// Giant Fly Wing
12213,475,100	// Neuralizer
12214,475,100	// Convex Mirror
12215,475,100	// LV10 Blessing Scroll
12216,475,100	// LV10 Agil Scroll
12217,475,100	// LV5 Aspersio Scroll
12218,475,100	// LV5 Assumptio Scroll
12219,475,100	// LV10 Wind Walker Scroll
12220,475,100	// LV5 Adrenaline Scroll
12221,475,100	// Megaphone_
12269,499,100	// Tasty Pink Ration
12270,499,100	// Tasty White Ration
12271,499,100	// Military Ration A
12272,499,100	// Military Ration B
12273,499,100	// Military Ration C
12274,507,100	// Daehwandan
12275,507,100	// Taecheongdan
12276,73,100	// Mimic Scroll
12277,73,100	// Disguise Scroll
12278,73,100	// Alice Scroll
12287,507,100	// Love Angel Magic Powder
12288,507,100	// Squirrel Magic Powder
12289,507,100	// Gogo Magic Powder
12294,507,100	// PC-Room Coin Box
12295,507,100	// PC-Room Coin Box
12296,507,100	// PC-Room Coin Box
12297,507,100	// PC-Room Coin Box
12298,507,100	// SP Consumption Reduction Potion
12299,507,100	// Mega Resist Potion
12300,499,100	// Wild Rose Contract
12301,499,100	// Doppelganger Contract
12302,499,100	// Egnigem Cenia Contract
12303,475,100	// Blessing Of Water
12304,507,100	// Diary Magic Powder
12305,507,100	// Mini Heart Magic Powder
12306,507,100	// Freshman Magic Powder
12307,507,100	// Kid Magic Powder
12308,507,100	// Magic Magic Powder
12309,507,100	// JJangu Magic Powder
12310,467,100	// Spray Of Flowers
12311,467,100	// Huge Spray Of Flowers
12313,499,100	// Guardian Angel
12331,507,100	// Ginseng
12332,507,100	// Fruit Juice
12340,499,100	// Chewy Rice Powder
12346,499,100	// Unripe Acorn
12350,457,100	// Angeling Potion
12351,457,100	// Scream Megaphone
12361,507,100	// Delicious Shaved Ice
12363,507,100	// Fit Pipe
12370,507,100	// Girl's Naivety
12375,457,100	// Akaraje
12391,475,100	// Lucky Egg
12396,73,100	// Gift Box?
12397,73,100	// Gift Box?
12398,507,100	// PCBang Gift Box
12402,475,100	// 29Fruit
12404,475,100	// Acti Potion
12405,475,100	// Underripe Yggseed
12406,475,100	// Psychic ArmorS
12413,475,100	// PCBang Coupon Box2
12473,467,100	// RWC Parti Box
12474,467,100	// RWC Final Comp Box
12476,475,100	// PCBang Coupon Box3
12478,507,100	// Chance Box
12479,507,100	// Caracas Ring Box
12480,475,100	// Attend 3Day Box
12481,475,100	// Attend 7Day Box
12482,475,100	// Attend 10Day Box
12483,475,100	// Attend 15Day Box
12484,475,100	// Attend 20Day Box
12485,475,100	// Attend 25Day Box
12486,475,100	// GoldPC First Box
12487,475,100	// PC 4Leaf Clover Box
12492,475,100	// Crumpled Paper
12493,475,100	// Lucky Egg C4
12529,475,100	// White Slim Potion Box
12530,475,100	// Mastela Fruit Box
12531,475,100	// White Potion Box
12532,475,100	// Royal Jelly Box2
12533,475,100	// Blue Herb Box2
12534,475,100	// Yggdrasil Seed Box
12535,475,100	// Iggdrasilberry Box
12540,499,100	// GM Warp Box
12541,499,100	// Fortune Cookie1
12542,499,100	// Fortune Cookie2
12543,499,100	// Fortune Cookie3
12549,475,100	// White Slim Pot Box2
12550,475,100	// Poison Bottle Box2
